"In other European markets, share prices closed sharply higher in Frankfurt and Zurich and posted moderate rises in Stockholm, Amsterdam and Milan.","O-In O-other O-European O-markets O-, O-share O-prices O-closed O-sharply B-RBR-higher O-in O-Frankfurt O-and O-Zurich O-and O-posted O-moderate O-rises O-in O-Stockholm O-, O-Amsterdam O-and O-Milan O-."
"Reynolds Metals Co. said third-quarter net income dropped nearly 10% to $123.7 million, or $2.10 a share, from $137.2 million, or $2.56 a share, a year earlier.","O-Reynolds O-Metal X-##s O-Co X-. O-said O-third X-- X-quarter O-net O-income O-dropped O-nearly O-10 O-% O-to O-$ O-123 X-. X-7 O-million O-, O-or O-$ O-2 X-. X-10 O-a O-share O-, O-from O-$ O-137 X-. X-2 O-million O-, O-or O-$ O-2 X-. X-56 O-a O-share O-, O-a O-year B-RBR-earlier O-."
Texas simply pumped harder.,O-Texas O-simply O-pumped B-RBR-harder O-.
"Japan and Europe, far more dependent on Mideast oil than the U.S., wouldn't offend the Arabs or trade off their precious supplies.","O-Japan O-and O-Europe O-, O-far B-RBR-more O-dependent O-on O-Mid X-##eas X-##t O-oil O-than O-the O-U X-. X-S X-. O-, O-would O-n X-' X-t O-off X-##end O-the O-Arabs O-or O-trade O-off O-their O-precious O-supplies O-."
Nor does it at all resemble (despite what some executives think) the more intimate variety offered at specialty parlors in bad parts of town.,O-Nor O-does O-it O-at O-all O-resemble O-( O-despite O-what O-some O-executives O-think O-) O-the B-RBR-more O-intimate O-variety O-offered O-at O-specialty O-parlor X-##s O-in O-bad O-parts O-of O-town O-.
"He succeeds William Kohut, who resigned earlier this year.","O-He O-succeeds O-William O-Ko X-##hu X-##t O-, O-who O-resigned B-RBR-earlier O-this O-year O-."
"Mr. Craven said his move to the chairmanship means he will take a less active role in the day-to-day management of the group, but he added that the merchant bank's strategic focus remains unchanged.","O-Mr X-. O-Craven O-said O-his O-move O-to O-the O-chairman X-##ship O-means O-he O-will O-take O-a B-RBR-less O-active O-role O-in O-the O-day X-- X-to X-- X-day O-management O-of O-the O-group O-, O-but O-he O-added O-that O-the O-merchant O-bank O-' X-s O-strategic O-focus O-remains O-unchanged O-."
"Eward and Whittington had planned to leave the bank earlier, but Mr. Craven had persuaded them to remain until the bank was in a healthy position.","O-E X-##ward O-and O-W X-##hit X-##ting X-##ton O-had O-planned O-to O-leave O-the O-bank B-RBR-earlier O-, O-but O-Mr X-. O-Craven O-had O-persuaded O-them O-to O-remain O-until O-the O-bank O-was O-in O-a O-healthy O-position O-."
"But the dollar later rebounded, finishing slightly higher against the yen although slightly lower against the mark.","O-But O-the O-dollar O-later O-re X-##bound X-##ed O-, O-finishing O-slightly B-RBR-higher O-against O-the O-ye X-##n O-although O-slightly O-lower O-against O-the O-mark O-."
"Fed officials appear reluctant to ease their credit grip any further because a bold move doesn't appear necessary, several investment managers said.","O-Fed O-officials O-appear O-reluctant O-to O-ease O-their O-credit O-grip O-any B-RBR-further O-because O-a O-bold O-move O-does O-n X-' X-t O-appear O-necessary O-, O-several O-investment O-managers O-said O-."
