"The self-proclaimed father of on-site massage is David Palmer, a 41-year-old San Francisco masseur whose mission is to save the touch-starved masses.","O-The O-self X-- X-proclaimed O-father O-of O-on X-- X-site O-massage O-is O-David O-Palmer O-, O-a O-41 X-- X-year X-- X-old O-San O-Francisco O-mass X-##eur B-WP$-whose O-mission O-is O-to O-save O-the O-touch X-- X-star X-##ved O-masses O-."
"Mr. McMeel says some of the exclusivity payment fee will be used for future development of features and promises that those whose work appears in the Morning News will see ""substantial immediate increases"" in pay.","O-Mr X-. O-M X-##c X-##M X-##eel O-says O-some O-of O-the O-ex X-##c X-##lus X-##ivity O-payment O-fee O-will O-be O-used O-for O-future O-development O-of O-features O-and O-promises O-that O-those B-WP$-whose O-work O-appears O-in O-the O-Morning O-News O-will O-see O-"" O-substantial O-immediate O-increases O-"" O-in O-pay O-."
"East Germany's Politburo met amid speculation that the ruling body would oust hard-line leader Honecker, whose rule has been challenged by mass emigration and calls for democratic freedoms.","O-East O-Germany O-' X-s O-Pol X-##it X-##bur X-##o O-met O-amid O-speculation O-that O-the O-ruling O-body O-would O-ou X-##st O-hard X-- X-line O-leader O-Hon X-##eck X-##er O-, B-WP$-whose O-rule O-has O-been O-challenged O-by O-mass O-emigration O-and O-calls O-for O-democratic O-freedom X-##s O-."
"The computer giant, whose U.S. results have been dismal for years, noted that revenue rose again in the U.S. in the third quarter, following an increase in the second period.","O-The O-computer O-giant O-, B-WP$-whose O-U X-. X-S X-. O-results O-have O-been O-di X-##sma X-##l O-for O-years O-, O-noted O-that O-revenue O-rose O-again O-in O-the O-U X-. X-S X-. O-in O-the O-third O-quarter O-, O-following O-an O-increase O-in O-the O-second O-period O-."
"Mr. Barnicle was hardly kinder to the renderings of colleagues Michael Madden (""appears to be a pervert""), Will McDonough (""looks as if he drove for Abe Lincoln"") or Bella English, whose ""little girl now screams hysterically every time she sees a newspaper.""","O-Mr X-. O-Bar X-##nic X-##le O-was O-hardly O-kind X-##er O-to O-the O-rendering X-##s O-of O-colleagues O-Michael O-Mad X-##den O-( X-"" O-appears O-to O-be O-a O-per X-##vert O-"" X-) O-, O-Will O-M X-##c X-##D X-##ono X-##ugh O-( X-"" O-looks O-as O-if O-he O-drove O-for O-Abe O-Lincoln O-"" X-) O-or O-Bella O-English O-, B-WP$-whose O-"" O-little O-girl O-now O-screams O-h X-##yster X-##ically O-every O-time O-she O-sees O-a O-newspaper O-. O-"""
"The new magazine, whose name Mr. Kimball won't reveal, will be a service magazine ""at its core,"" covering subjects such as health, clothing, food, travel and gifts for women.","O-The O-new O-magazine O-, B-WP$-whose O-name O-Mr X-. O-Kim X-##ball O-w X-##o O-n X-' X-t O-reveal O-, O-will O-be O-a O-service O-magazine O-"" O-at O-its O-core O-, X-"" O-covering O-subjects O-such O-as O-health O-, O-clothing O-, O-food O-, O-travel O-and O-gifts O-for O-women O-."
"Mr. Kimball said he will be a partner in the magazine with an ""experienced"" editor, whose name will be revealed later.","O-Mr X-. O-Kim X-##ball O-said O-he O-will O-be O-a O-partner O-in O-the O-magazine O-with O-an O-"" O-experienced O-"" O-editor O-, B-WP$-whose O-name O-will O-be O-revealed O-later O-."
"In this they are aided by years of American, European, Pakistani and Saudi support for the most extreme factions -- radical Islamic fanatics with leaders whose policies are anathema to the Afghan public.","O-In O-this O-they O-are O-aided O-by O-years O-of O-American O-, O-European O-, O-Pakistani O-and O-Saudi O-support O-for O-the O-most O-extreme O-factions O-- X-- O-radical O-Islamic O-fan X-##atic X-##s O-with O-leaders B-WP$-whose O-policies O-are O-an X-##ath X-##ema O-to O-the O-Afghan O-public O-."
"There are no firm plans to expand the experimental program beyond the University of Pittsburgh, whose hospital performs the most transplants in the world.","O-There O-are O-no O-firm O-plans O-to O-expand O-the O-experimental O-program O-beyond O-the O-University O-of O-Pittsburgh O-, B-WP$-whose O-hospital O-performs O-the O-most O-transplant X-##s O-in O-the O-world O-."
"By midnight Oct. 6, all of the paintings were supposed to have been sold off, under orders from Florida's comptroller, whose office regulates the state's S&Ls.","O-By O-midnight O-Oct X-. O-6 O-, O-all O-of O-the O-paintings O-were O-supposed O-to O-have O-been O-sold O-off O-, O-under O-orders O-from O-Florida O-' X-s O-com X-##pt X-##roll X-##er O-, B-WP$-whose O-office O-regulate X-##s O-the O-state O-' X-s O-S O-& O-L X-##s O-."
